iter	MAE
0	0.4815969911
1	0.4815907303
2	0.4815907165
3	0.4815907029
4	0.4815906896
5	0.4815719194
6	0.481571907
7	0.4815656482
8	0.4815656362
9	0.4815468839
10	0.4814058259
11	0.4814058172
12	0.4812796901
13	0.4812736829
14	0.4812735499
15	0.4812735422
16	0.4812674131
17	0.4812615264
18	0.4812615191
19	0.4812240303
20	0.4812055236
21	0.4812055167
22	0.4812055099
23	0.4812051354
24	0.4811742795
25	0.4811681491
26	0.4811681429
27	0.4810962095
28	0.4810653187
29	0.481025856
30	0.481007952
31	0.4808744092
32	0.4808431483
33	0.480843143
34	0.4808429024
35	0.4808317842
36	0.4808197751
37	0.4808084627
38	0.4807344397
39	0.4807337309
40	0.4807224174
41	0.4806744703
42	0.4806732483
43	0.480662263
44	0.4806570436
45	0.4806292038
46	0.4806282929
47	0.4806268303
48	0.4805254187
49	0.480508266
50	0.480482251
51	0.4804811352
52	0.480368298
53	0.480312294
54	0.4802596984
55	0.4802555298
56	0.4802500975
57	0.4802500679
58	0.4802211131
59	0.4800668024
60	0.4800650815
61	0.4797745472
62	0.4794334346
63	0.4794333087
64	0.4794105299
65	0.4791423785
66	0.4789507626
67	0.478751739
68	0.4787329329
69	0.478708761
70	0.4785565399
71	0.4783508517
72	0.4783389982
73	0.4783389965
74	0.4780916135
75	0.4780848975
76	0.4780825957
77	0.4780735714
78	0.4780652566
79	0.4780633659
80	0.4778574222
81	0.4778572157
82	0.4777056474
83	0.477530388
84	0.4775217592
85	0.4773195904
86	0.477319589
87	0.4773195877
88	0.4771129683
89	0.4769672084
90	0.4767791542
91	0.4766391776
92	0.4764353739
93	0.4762494198
94	0.4762311669
95	0.4760746744
96	0.4759010006
97	0.4759003761
98	0.4757621476
99	0.4756105454
100	0.4754967977
101	0.4753203512
102	0.4753144291
103	0.4753143439
104	0.4753138066
105	0.4751948761
106	0.4751842594
107	0.4751416932
108	0.4749675037
109	0.4748443836
110	0.4747281399
111	0.4744439294
112	0.4744438223
113	0.4742980654
114	0.4741610861
115	0.4741569087
116	0.4739870337
117	0.4737747228
118	0.4736374304
