iter	Passed	Remaining
0	1	999
1	2	1064
2	3	1031
3	4	1038
4	5	1061
5	7	1103
6	8	1078
7	9	1066
8	10	1044
9	11	1027
10	12	1004
11	13	991
12	14	978
13	15	970
14	16	961
15	16	954
16	18	950
17	19	954
18	20	945
19	20	938
20	21	933
21	23	935
22	23	923
23	25	930
24	25	924
25	26	919
26	27	908
27	28	904
28	29	900
29	30	898
30	31	896
31	32	893
32	33	891
33	34	887
34	35	884
35	36	882
36	36	877
37	37	873
38	38	869
39	39	868
40	40	864
41	41	861
42	42	860
43	43	858
44	44	856
45	45	852
46	45	849
47	46	847
48	47	848
49	48	845
50	49	843
51	50	840
52	51	837
53	52	836
54	53	834
55	54	832
56	55	829
57	56	828
58	57	827
59	57	824
60	58	820
61	59	819
62	60	816
63	60	810
64	61	806
65	62	803
66	63	800
67	63	796
68	64	793
69	65	790
70	66	787
71	66	783
72	67	780
73	68	778
74	69	776
75	70	773
76	70	770
77	71	769
78	72	766
79	73	764
80	73	761
81	74	757
82	75	754
83	76	753
84	76	750
85	77	747
86	78	743
87	78	737
88	79	734
89	79	732
90	80	729
91	81	726
92	81	723
93	82	720
94	83	718
95	83	716
96	84	712
97	85	710
98	85	708
99	86	708
100	87	706
101	88	702
102	88	700
103	89	698
104	90	696
105	90	693
106	91	690
107	92	688
108	92	686
109	93	684
110	94	682
111	94	679
112	95	675
113	96	681
114	97	678
115	98	676
116	98	674
117	99	671
118	99	668
119	100	666
120	101	664
121	102	664
122	102	662
123	103	660
124	104	662
125	105	659
126	105	656
127	106	654
128	107	652
129	107	650
130	108	648
131	109	649
132	110	649
133	111	648
134	112	649
135	113	650
136	114	648
137	114	647
138	115	646
139	116	643
140	117	642
141	117	641
142	118	639
143	119	638
144	120	637
145	120	635
146	121	634
147	122	633
148	123	632
149	123	630
150	124	628
151	124	627
152	125	625
153	126	623
154	126	622
155	127	620
156	128	618
157	128	616
158	129	614
159	129	612
160	130	610
161	130	608
162	131	607
163	132	605
164	132	603
165	133	602
166	134	600
167	134	599
168	135	597
169	136	596
170	136	594
171	137	592
172	137	591
173	138	590
174	139	588
175	139	587
176	140	585
177	141	583
178	141	582
179	142	580
180	142	579
181	143	577
182	144	576
183	144	574
184	145	572
185	145	571
186	146	569
187	147	568
188	147	567
189	148	566
190	149	565
191	149	564
192	150	562
193	150	560
194	151	559
195	152	558
196	152	557
197	153	556
198	154	554
199	155	554
200	155	553
201	156	551
202	156	550
203	157	548
204	157	546
205	158	546
206	159	544
207	159	543
208	160	542
209	161	541
210	161	540
211	162	538
212	163	537
213	163	536
214	164	535
215	165	534
216	165	533
217	166	532
218	167	531
219	167	529
220	168	527
221	168	526
222	169	525
223	170	524
224	170	523
225	171	522
226	171	520
227	172	519
228	172	518
229	173	517
230	174	515
231	174	514
232	175	513
233	176	512
234	176	510
235	177	509
236	178	509
237	178	508
238	179	506
239	179	505
240	180	504
241	180	503
242	181	502
243	182	500
244	182	499
245	183	498
246	183	496
247	184	495
248	184	494
249	185	493
250	186	492
251	186	491
252	187	489
253	187	488
254	188	487
255	188	486
256	189	485
257	190	484
258	190	483
259	191	482
260	192	481
261	192	480
262	193	479
263	193	477
264	194	476
265	195	476
266	195	474
267	196	473
268	196	472
269	197	471
270	197	470
271	198	469
272	198	467
273	199	466
274	199	465
275	200	464
276	200	462
277	201	461
278	202	460
279	202	459
280	203	459
281	204	458
282	204	456
283	205	455
284	205	455
285	206	454
286	207	453
287	207	451
288	208	450
289	208	449
290	209	448
291	209	447
292	210	446
293	211	445
294	211	444
295	212	443
296	213	443
297	213	442
298	214	441
299	214	440
300	215	439
301	215	438
302	216	437
303	217	436
304	218	436
305	218	435
306	219	434
307	219	433
308	220	431
309	220	431
310	221	430
311	221	428
312	222	427
313	223	426
314	223	425
315	224	425
316	224	424
317	225	423
318	226	422
319	226	421
320	227	420
321	227	419
322	228	418
323	229	417
324	229	417
325	230	415
326	230	415
327	231	414
328	231	413
329	232	412
330	233	411
331	234	411
332	234	410
333	235	409
334	235	408
335	236	407
336	236	406
337	237	405
338	238	405
339	238	404
340	239	403
341	240	402
342	240	401
343	241	400
344	241	399
345	242	398
346	242	397
347	243	396
348	243	395
349	244	394
350	245	393
351	245	392
352	246	391
353	246	390
354	247	390
355	247	389
356	248	388
357	248	387
358	249	386
359	249	385
360	250	384
361	251	383
362	251	382
363	252	382
364	252	381
365	253	380
366	254	379
367	254	378
368	255	377
369	255	376
370	256	375
371	256	374
372	257	374
373	257	373
374	258	372
375	259	371
376	259	370
377	260	369
378	260	368
379	261	368
380	261	367
381	262	366
382	262	365
383	263	364
384	264	363
385	265	363
386	265	362
387	266	361
388	266	360
389	267	359
390	267	358
391	268	358
392	268	357
393	269	356
394	270	355
395	270	354
396	271	353
397	271	352
398	272	352
399	272	351
400	277	355
401	278	355
402	278	354
403	279	353
404	280	352
405	280	352
406	281	351
407	282	350
408	282	349
409	283	348
410	283	347
411	285	347
412	285	347
413	286	346
414	287	345
415	287	345
416	288	344
417	289	343
418	289	342
419	290	342
420	291	341
421	291	340
422	292	340
423	293	339
424	293	338
425	294	338
426	295	337
427	296	336
428	296	336
429	297	335
430	298	335
431	299	335
432	300	334
433	301	333
434	302	333
435	302	332
436	303	332
437	304	331
438	304	330
439	305	330
440	306	329
441	307	328
442	308	328
443	308	327
444	309	326
445	310	326
446	310	325
447	311	324
448	312	323
449	312	323
450	314	323
451	315	323
452	316	322
453	316	321
454	317	321
455	318	320
456	318	319
457	319	319
458	320	318
459	320	317
460	321	316
461	322	315
462	322	315
463	323	314
464	324	313
465	324	313
466	325	312
467	326	311
468	326	310
469	327	310
470	328	309
471	328	308
472	329	307
473	330	307
474	331	306
475	331	306
476	332	305
477	333	304
478	334	304
479	334	303
480	335	302
481	335	301
482	336	301
483	337	300
484	337	299
485	338	299
486	339	298
487	340	297
488	340	296
489	341	296
490	341	295
491	342	294
492	343	293
493	343	292
494	344	292
495	344	291
496	345	290
497	346	289
498	346	289
499	347	288
500	347	287
501	348	286
502	349	285
503	349	285
504	350	284
505	350	283
506	351	282
507	351	281
508	352	281
509	352	280
510	353	279
511	354	278
512	354	278
513	355	277
514	356	276
515	356	275
516	357	275
517	357	274
518	358	273
519	359	272
520	359	271
521	360	271
522	360	270
523	361	269
524	361	268
525	362	268
526	363	267
527	364	266
528	364	266
529	365	265
530	365	264
531	366	263
532	367	263
533	367	262
534	368	261
535	368	260
536	369	260
537	370	259
538	371	258
539	371	257
540	372	257
541	372	256
542	373	256
543	374	255
544	374	254
545	375	253
546	376	253
547	376	252
548	377	251
549	378	250
550	378	250
551	379	249
552	379	248
553	380	247
554	381	247
555	382	246
556	383	246
557	383	245
558	384	244
559	384	244
560	385	243
561	386	242
562	386	241
563	387	241
564	387	240
565	388	239
566	389	239
567	390	238
568	390	237
569	391	236
570	392	236
571	392	235
572	393	234
573	393	234
574	394	233
575	395	232
576	395	231
577	396	231
578	397	230
579	397	229
580	398	228
581	399	228
582	399	227
583	400	226
584	400	226
585	401	225
586	402	224
587	402	223
588	403	223
589	403	222
590	404	221
591	404	220
592	405	220
593	406	219
594	406	218
595	407	217
596	407	217
597	408	216
598	408	215
599	409	215
600	410	214
601	410	213
602	411	213
603	412	212
604	413	212
605	414	211
606	415	210
607	415	210
608	416	209
609	417	208
610	418	208
611	418	207
612	419	206
613	420	205
614	420	205
615	421	204
616	422	203
617	422	203
618	423	202
619	424	201
620	424	201
621	425	200
622	425	199
623	426	198
624	427	198
625	428	197
626	428	197
627	429	196
628	430	195
629	430	194
630	431	194
631	432	193
632	432	192
633	433	192
634	434	191
635	435	190
636	435	190
637	436	189
638	436	188
639	437	187
640	438	187
641	438	186
642	439	185
643	439	185
644	440	184
645	441	183
646	441	183
647	442	182
648	443	181
649	443	180
650	444	180
651	444	179
652	445	178
653	446	178
654	446	177
655	447	176
656	447	175
657	448	175
658	449	174
659	449	173
660	450	173
661	451	172
662	451	171
663	452	170
664	452	170
665	453	169
666	454	168
667	455	168
668	455	167
669	456	166
670	456	166
671	457	165
672	458	164
673	458	164
674	459	163
675	460	162
676	460	162
677	461	161
678	462	160
679	462	159
680	463	159
681	464	158
682	464	157
683	465	157
684	465	156
685	466	155
686	467	155
687	467	154
688	468	153
689	468	152
690	469	152
691	470	151
692	470	150
693	471	150
694	471	149
695	472	148
696	472	147
697	473	147
698	474	146
699	474	145
700	475	145
701	476	144
702	476	143
703	477	143
704	478	142
705	478	141
706	479	141
707	479	140
708	480	139
709	481	138
710	481	138
711	482	137
712	483	136
713	483	136
714	484	135
715	485	134
716	485	134
717	486	133
718	486	132
719	487	132
720	488	131
721	488	130
722	489	129
723	490	129
724	490	128
725	491	127
726	492	127
727	492	126
728	493	125
729	493	125
730	494	124
731	495	123
732	495	123
733	496	122
734	497	121
735	497	121
736	498	120
737	498	119
738	499	118
739	500	118
740	500	117
741	501	116
742	501	116
743	502	115
744	502	114
745	503	114
746	504	113
747	504	112
748	505	112
749	506	111
750	506	110
751	507	109
752	507	109
753	508	108
754	508	107
755	509	107
756	510	106
757	510	105
758	511	105
759	511	104
760	512	103
761	513	103
762	513	102
763	514	101
764	514	100
765	515	100
766	516	99
767	516	98
768	517	98
769	517	97
770	518	96
771	519	96
772	520	95
773	520	94
774	521	94
775	521	93
776	522	92
777	523	92
